Segment, TLL06, TLL05, TLL04, TLL03, TLL02, TLL01, TBAL4, TBAL3, TBAL2, TBAL1, TBPL4, TBPL3, TBPL2, TBPL1, TL10, TL09, TL08, TL07, TL06, TL05, TL04, TL03, TL02, TL01, TR01, TR02, TR03, TR04, TR05, TR06, TR07, TR08, TR09, TR10, TBPR1, TBPR2, TBPR3, TBPR4, TBAR3, TBAR4, TLR01, TLR02, TLR03, TLR04, TLR05, TLR06
31,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.043434343434343436,0.0,0.0,0.0,0.0,0.47575757575757577,0.0,0.0,0.1484848484848485,0.048484848484848485,0.01616161616161616,0.0030303030303030303,0.00101010101010101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049494949494949494,0.00101010101010101,0.12626262626262627,0.0,0.696969696969697,0.0,0.0,0.0,0.0,0.0,0.20202020202020202
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11212121212121212,0.0,0.0,0.08282828282828283,0.0,0.0696969696969697,0.0,0.1898989898989899,0.07474747474747474,0.09696969696969697,0.08787878787878788,0.012121212121212121,0.00505050505050505,0.06767676767676768,0.0696969696969697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0707070707070707,0.0,0.0,0.0,0.13737373737373737,0.6080808080808081,0.1808080808080808,0.0,0.031313131313131314,0.06464646464646465,0.0,0.0,0.0,0.1383838383838384,0.41818181818181815
33,0.0,0.12424242424242424,0.011111111111111112,0.16363636363636364,0.11212121212121212,0.30404040404040406,0.0,0.0,0.0,0.12121212121212122,0.021212121212121213,0.00202020202020202,0.10505050505050505,0.03434343434343434,0.12828282828282828,0.0,0.0,0.0,0.0,0.013131313131313131,0.0,0.00202020202020202,0.0,0.0,0.0,0.00404040404040404,0.0,0.12424242424242424,0.0404040404040404,0.0,0.0,0.0,0.0,0.043434343434343436,0.03838383838383838,0.43737373737373736,0.015151515151515152,0.07272727272727272,0.3797979797979798,0.03535353535353535,0.0,0.0,0.25656565656565655,0.06161616161616162,0.03232323232323232,0.0
34,0.09393939393939393,0.043434343434343436,0.0,0.0,0.029292929292929294,0.2808080808080808,0.043434343434343436,0.0,0.0,0.0,0.30404040404040406,0.00505050505050505,0.0,0.0,0.0,0.0,0.05353535353535353,0.16767676767676767,0.0,0.21515151515151515,0.07272727272727272,0.015151515151515152,0.05353535353535353,0.16464646464646465,0.0404040404040404,0.201010101010101,0.01818181818181818,0.0,0.0,0.0,0.12121212121212122,0.00808080808080808,0.0,0.0,0.0,0.01717171717171717,0.043434343434343436,0.04141414141414142,0.12626262626262627,0.1606060606060606,0.0,0.13232323232323231,0.2222222222222222,0.09595959595959595,0.00101010101010101,0.2101010101010101
35,0.25555555555555554,0.0,0.007070707070707071,0.015151515151515152,0.12727272727272726,0.09393939393939393,0.19494949494949496,0.0,0.0,0.0,0.09797979797979799,0.06363636363636363,0.029292929292929294,0.00101010101010101,0.0,0.051515151515151514,0.13737373737373737,0.05858585858585859,0.07272727272727272,0.1202020202020202,0.044444444444444446,0.0,0.0,0.0,0.08787878787878788,0.0,0.050505050505050504,0.0,0.0,0.0,0.00505050505050505,0.0,0.15555555555555556,0.0,0.006060606060606061,0.23535353535353534,0.0,0.1404040404040404,0.3606060606060606,0.08484848484848485,0.00505050505050505,0.0,0.0,0.3,0.06464646464646465,0.10909090909090909
36,0.0,0.0,0.0,0.025252525252525252,0.031313131313131314,0.0,0.1,0.0,0.0,0.0,0.01919191919191919,0.0,0.0,0.07272727272727272,0.0,0.0,0.014141414141414142,0.00101010101010101,0.00505050505050505,0.2828282828282828,0.0404040404040404,0.0,0.0,0.0,0.0,0.0,0.006060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41414141414141414,0.4101010101010101,0.15252525252525254,0.0,0.18686868686868688,0.5545454545454546,0.0,0.01818181818181818,0.0,0.0,0.0,0.01616161616161616
37,0.0,0.0,0.0,0.0,0.0,0.23030303030303031,0.0,0.0,0.0030303030303030303,0.00202020202020202,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.21616161616161617,0.3606060606060606,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.6545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.044444444444444446,0.0,0.10707070707070707,0.0,0.0,0.0,0.0,0.0797979797979798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024242424242424242,0.2595959595959596,0.4171717171717172,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006060606060606061,0.00101010101010101,0.0,0.0,0.023232323232323233,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.2686868686868687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.047474747474747475,0.0,0.0,0.0,0.0,0.0,0.0,0.06161616161616162,0.5060606060606061,0.09494949494949495,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.00505050505050505,0.0,0.0,0.0,0.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.012121212121212121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.03434343434343434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2585858585858586,0.0,0.0,0.0,0.0,0.0,0.0,0.27474747474747474,0.0,0.05353535353535353,0.2222222222222222,0.0,0.0,0.1606060606060606,0.03737373737373737,0.0,0.0,0.0,0.0,0.006060606060606061,0.0,0.0,0.0,0.0,0.401010101010101,0.0101010101010101,0.14646464646464646,0.11414141414141414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.2292929292929293,0.030303030303030304,0.0,0.14545454545454545,0.0,0.0,0.0,0.0,0.13232323232323231,0.0,0.0,0.0,0.0,0.0,0.0,0.4212121212121212,0.296969696969697,0.06868686868686869,0.0898989898989899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07272727272727272,0.00101010101010101,0.0,0.0,0.0,0.0,0.04242424242424243,0.0,0.0,0.3242424242424242,0.012121212121212121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
